start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743788608.969505,1743788609.0385578,"[0.04529166221618652, 0.017209768295288086, 0.003845691680908203, 0.0018167495727539062, 0.00048065185546875, 0.00014591217041015625, 5.793571472167969e-05, 2.288818359375e-05, 9.059906005859375e-06]",9,0,draw,0.06905269622802734
1743788609.0385747,1743788609.097046,"[0.040876150131225586, 0.011096477508544922, 0.0038366317749023438, 0.0018024444580078125, 0.0004897117614746094, 0.0001475811004638672, 5.8650970458984375e-05, 2.3126602172851562e-05, 9.298324584960938e-06]",9,0,draw,0.0584712028503418
1743788609.0971792,1743788609.1592593,"[0.04454684257507324, 0.010971784591674805, 0.0038704872131347656, 0.0018074512481689453, 0.00047469139099121094, 0.0001468658447265625, 7.2479248046875e-05, 2.4080276489257812e-05, 9.5367431640625e-06]",9,0,draw,0.06208014488220215
1743788609.1592813,1743788609.2212746,"[0.041501760482788086, 0.012146234512329102, 0.005384206771850586, 0.0020606517791748047, 0.0004801750183105469, 0.00015020370483398438, 7.867813110351562e-05, 2.4080276489257812e-05, 9.5367431640625e-06]",9,0,draw,0.06199336051940918
1743788609.2214994,1743788609.2891607,"[0.04787445068359375, 0.011558055877685547, 0.0051479339599609375, 0.0021164417266845703, 0.0005311965942382812, 0.00015664100646972656, 6.127357482910156e-05, 2.3603439331054688e-05, 9.298324584960938e-06]",9,0,draw,0.06766128540039062
1743788609.2891772,1743788609.3477113,"[0.0410308837890625, 0.011016130447387695, 0.0038428306579589844, 0.001798391342163086, 0.00048828125, 0.00014519691467285156, 5.8650970458984375e-05, 2.2649765014648438e-05, 8.821487426757812e-06]",9,0,draw,0.05853414535522461
1743788609.347828,1743788609.4132397,"[0.04616856575012207, 0.010912418365478516, 0.003910064697265625, 0.002885580062866211, 0.001058816909790039, 0.00016355514526367188, 6.008148193359375e-05, 2.3126602172851562e-05, 8.821487426757812e-06]",9,0,draw,0.06541180610656738
1743788609.4132583,1743788609.4717145,"[0.04082632064819336, 0.010933399200439453, 0.0039010047912597656, 0.00177001953125, 0.0006520748138427734, 0.00015401840209960938, 6.127357482910156e-05, 2.3365020751953125e-05, 8.344650268554688e-06]",9,0,draw,0.0584561824798584
1743788609.471902,1743788609.534082,"[0.04383206367492676, 0.011761665344238281, 0.0038750171661376953, 0.001844644546508789, 0.0004706382751464844, 0.00014972686767578125, 5.888938903808594e-05, 3.457069396972656e-05, 8.344650268554688e-06]",9,0,draw,0.0621800422668457
1743788609.534097,1743788609.5925195,"[0.04089236259460449, 0.011011362075805664, 0.003835439682006836, 0.0018405914306640625, 0.0004744529724121094, 0.0001595020294189453, 5.91278076171875e-05, 2.3126602172851562e-05, 8.58306884765625e-06]",9,0,draw,0.05842256546020508
1743788609.5926347,1743788609.654458,"[0.0442349910736084, 0.010799169540405273, 0.004117012023925781, 0.0017910003662109375, 0.0004763603210449219, 0.00017142295837402344, 5.888938903808594e-05, 2.288818359375e-05, 8.821487426757812e-06]",9,0,draw,0.061823368072509766
1743788609.654472,1743788609.7166746,"[0.04135417938232422, 0.014166116714477539, 0.0038919448852539062, 0.00189208984375, 0.0005080699920654297, 0.0001590251922607422, 6.079673767089844e-05, 2.4080276489257812e-05, 9.059906005859375e-06]",9,0,draw,0.06220245361328125
1743788609.7167983,1743788609.7781246,"[0.0430293083190918, 0.011249303817749023, 0.003973245620727539, 0.002116680145263672, 0.0005192756652832031, 0.00017333030700683594, 6.175041198730469e-05, 2.4318695068359375e-05, 8.821487426757812e-06]",9,0,draw,0.06132626533508301
1743788609.7781415,1743788609.8713875,"[0.07569718360900879, 0.010848283767700195, 0.004046201705932617, 0.0017981529235839844, 0.0004730224609375, 0.00014495849609375, 5.7697296142578125e-05, 2.2649765014648438e-05, 8.821487426757812e-06]",9,0,draw,0.0932459831237793
1743788609.8715143,1743788609.9316337,"[0.04232501983642578, 0.011020898818969727, 0.004021883010864258, 0.00185394287109375, 0.0005004405975341797, 0.00015020370483398438, 5.888938903808594e-05, 2.3365020751953125e-05, 9.059906005859375e-06]",9,0,draw,0.0601193904876709
1743788609.931649,1743788609.9902859,"[0.04108262062072754, 0.011026859283447266, 0.003871917724609375, 0.0018160343170166016, 0.00047135353088378906, 0.00014519691467285156, 5.817413330078125e-05, 2.2411346435546875e-05, 7.867813110351562e-06]",9,0,draw,0.05863690376281738
1743788609.9904187,1743788610.050745,"[0.04258608818054199, 0.01097416877746582, 0.003960609436035156, 0.0018837451934814453, 0.0005142688751220703, 0.00014781951904296875, 7.319450378417969e-05, 2.7418136596679688e-05, 8.58306884765625e-06]",9,0,draw,0.060326337814331055
1743788610.0507605,1743788610.1087964,"[0.04059243202209473, 0.010931730270385742, 0.00386810302734375, 0.0018184185028076172, 0.0004718303680419922, 0.00014495849609375, 5.793571472167969e-05, 2.2411346435546875e-05, 8.344650268554688e-06]",9,0,draw,0.058035850524902344
1743788610.108918,1743788610.172045,"[0.04440140724182129, 0.01089930534362793, 0.005151510238647461, 0.0017843246459960938, 0.0005021095275878906, 0.00014591217041015625, 5.841255187988281e-05, 2.3365020751953125e-05, 8.821487426757812e-06]",9,0,draw,0.06312704086303711
1743788610.17206,1743788610.232209,"[0.04200243949890137, 0.011483907699584961, 0.0038919448852539062, 0.0019271373748779297, 0.00047588348388671875, 0.00014710426330566406, 5.91278076171875e-05, 2.2649765014648438e-05, 8.58306884765625e-06]",9,0,draw,0.06014895439147949
