start_time,end_time,move_times,moves,states_explored,outcome,game_duration
1743781084.7569528,1743781084.7774537,"[0.017172813415527344, 0.0012078285217285156, 0.00015735626220703125, 1.7881393432617188e-05]",4,1241,win,0.020500898361206055
1743781084.77747,1743781084.8012764,"[0.021648406982421875, 0.0018901824951171875, 7.748603820800781e-05, 1.1205673217773438e-05]",4,1841,win,0.023806333541870117
1743781084.8012962,1743781084.8173742,"[0.014837503433227539, 0.0009024143218994141, 0.0001456737518310547, 1.8835067749023438e-05]",4,1186,win,0.01607799530029297
1743781084.8173854,1743781084.8425899,"[0.023245811462402344, 0.0017044544219970703, 0.00011777877807617188]",3,1827,win,0.02520442008972168
1743781084.8426027,1743781084.8566375,"[0.012101411819458008, 0.0016756057739257812, 0.0001342296600341797]",3,1161,win,0.014034748077392578
1743781084.8566444,1743781084.8760743,"[0.016396284103393555, 0.0026161670684814453, 0.00021266937255859375, 2.0503997802734375e-05]",4,1572,win,0.019429922103881836
1743781084.876236,1743781084.891215,"[0.013307809829711914, 0.001096487045288086, 0.0001361370086669922]",3,1027,win,0.014979124069213867
1743781084.8912318,1743781084.9071107,"[0.013834476470947266, 0.001720428466796875, 0.00019097328186035156]",3,1297,win,0.015878915786743164
1743781084.90712,1743781084.9214993,"[0.013798236846923828, 0.00037860870361328125, 7.43865966796875e-05]",3,1133,win,0.014379262924194336
1743781084.9215074,1743781084.9392233,"[0.014440774917602539, 0.0028319358825683594, 0.00016927719116210938]",3,1445,win,0.017715930938720703
1743781084.9392633,1743781084.9521592,"[0.011785268783569336, 0.0008037090301513672, 8.821487426757812e-05, 1.4781951904296875e-05]",4,1039,win,0.012895822525024414
1743781084.9521713,1743781084.975304,"[0.021017074584960938, 0.0018775463104248047, 7.390975952148438e-05, 1.621246337890625e-05]",4,1842,win,0.0231325626373291
1743781084.9753106,1743781084.98844,"[0.011990547180175781, 0.0008625984191894531, 9.989738464355469e-05, 9.059906005859375e-06]",4,1037,win,0.013129472732543945
1743781084.9885824,1743781085.0125065,"[0.022625446319580078, 0.0009686946868896484, 9.989738464355469e-05, 1.5735626220703125e-05]",4,1638,win,0.02392411231994629
1743781085.0125206,1743781085.0276132,"[0.013081789016723633, 0.0016825199127197266, 0.0001232624053955078]",3,1161,win,0.015092611312866211
1743781085.0276334,1743781085.046592,"[0.018202781677246094, 0.0004296302795410156, 8.034706115722656e-05, 2.7418136596679688e-05]",4,1284,draw,0.018958568572998047
1743781085.0466063,1743781085.06448,"[0.014700651168823242, 0.002747058868408203, 0.0001595020294189453, 1.8835067749023438e-05]",4,1387,win,0.017873764038085938
1743781085.0644941,1743781085.082352,"[0.01538991928100586, 0.0021638870239257812, 9.417533874511719e-05, 1.71661376953125e-05]",4,1364,win,0.017857789993286133
1743781085.0823636,1743781085.0984871,"[0.013485431671142578, 0.002239227294921875, 0.0001811981201171875, 2.4080276489257812e-05]",4,1266,draw,0.016123533248901367
1743781085.0986285,1743781085.122036,"[0.022013187408447266, 0.0010218620300292969, 0.00013756752014160156, 9.5367431640625e-06]",4,1673,win,0.023407459259033203
1743781085.1220627,1743781085.1386573,"[0.014504671096801758, 0.0017898082733154297, 9.393692016601562e-05, 1.0967254638671875e-05]",4,1274,win,0.016594648361206055
1743781085.138669,1743781085.1568675,"[0.014860868453979492, 0.003094196319580078, 9.393692016601562e-05]",3,1483,win,0.018198490142822266
1743781085.1568773,1743781085.175675,"[0.016875028610229492, 0.0016639232635498047, 0.00011444091796875]",3,1392,win,0.018797636032104492
1743781085.1756878,1743781085.1909866,"[0.012893438339233398, 0.0020923614501953125, 9.989738464355469e-05, 1.9550323486328125e-05]",4,1200,win,0.015298843383789062
1743781085.1910036,1743781085.21783,"[0.023359060287475586, 0.002974987030029297, 0.00020933151245117188, 2.5987625122070312e-05]",4,1921,draw,0.02682638168334961
1743781085.2179813,1743781085.2365751,"[0.0159151554107666, 0.0024662017822265625, 3.123283386230469e-05]",3,1433,win,0.018593788146972656
1743781085.2365901,1743781085.2614717,"[0.021628618240356445, 0.0029637813568115234, 0.00011444091796875]",3,1809,win,0.024881601333618164
1743781085.2614853,1743781085.2861013,"[0.021160364151000977, 0.003091573715209961, 8.296966552734375e-05, 1.8358230590820312e-05]",4,1617,win,0.024616003036499023
1743781085.2861266,1743781085.3056018,"[0.0158236026763916, 0.003035306930541992, 0.00022149085998535156, 3.838539123535156e-05]",4,1058,draw,0.019475221633911133
1743781085.305619,1743781085.3322363,"[0.024359941482543945, 0.001913309097290039, 0.00010395050048828125, 1.0013580322265625e-05]",4,1846,win,0.02661728858947754
1743781085.332251,1743781085.345343,"[0.012508392333984375, 0.0003399848937988281, 7.843971252441406e-05]",3,864,win,0.013092041015625
1743781085.3455102,1743781085.3671825,"[0.017274141311645508, 0.003861665725708008, 0.00023627281188964844, 2.1457672119140625e-05]",4,1572,win,0.02167224884033203
1743781085.3671987,1743781085.3867123,"[0.016179323196411133, 0.00299072265625, 0.00012373924255371094]",3,1411,win,0.019513607025146484
1743781085.3867433,1743781085.4094682,"[0.018817663192749023, 0.0035147666931152344, 0.0001537799835205078]",3,1729,win,0.02272486686706543
1743781085.4094968,1743781085.4344592,"[0.02191615104675293, 0.002656698226928711, 7.843971252441406e-05, 1.5735626220703125e-05]",4,1803,win,0.024962425231933594
1743781085.434474,1743781085.4633865,"[0.024570703506469727, 0.004030704498291016, 9.298324584960938e-05]",3,2071,win,0.02891254425048828
1743781085.4634013,1743781085.488205,"[0.02198934555053711, 0.0025360584259033203, 0.00010752677917480469]",3,1809,win,0.024803638458251953
1743781085.4883716,1743781085.5075376,"[0.0169374942779541, 0.001814126968383789, 0.00017499923706054688]",3,1370,win,0.019165992736816406
1743781085.507553,1743781085.5246544,"[0.014395713806152344, 0.0023255348205566406, 0.00019240379333496094]",3,1340,win,0.017101287841796875
1743781085.524668,1743781085.5451095,"[0.01705002784729004, 0.0028028488159179688, 0.00011301040649414062]",3,1481,win,0.020441532135009766
1743781085.5451229,1743781085.5695856,"[0.021429061889648438, 0.0026009082794189453, 0.00018978118896484375, 1.8596649169921875e-05]",4,1828,win,0.02446269989013672
1743781085.5696003,1743781085.5880888,"[0.015565156936645508, 0.002541065216064453, 0.00018143653869628906, 1.8835067749023438e-05]",4,1468,win,0.018488407135009766
1743781085.5881014,1743781085.6078744,"[0.017542123794555664, 0.0019958019256591797, 7.152557373046875e-05]",3,1445,win,0.019773006439208984
1743781085.608033,1743781085.6249218,"[0.013127326965332031, 0.003453493118286133, 0.00011396408081054688]",3,1327,win,0.016888856887817383
1743781085.624936,1743781085.6445584,"[0.01737189292907715, 0.0019631385803222656, 9.036064147949219e-05, 1.7881393432617188e-05]",4,1453,win,0.019622325897216797
1743781085.6445713,1743781085.6646848,"[0.018985986709594727, 0.0007791519165039062, 0.0001418590545654297, 1.8596649169921875e-05]",4,1318,win,0.020113468170166016
1743781085.6646976,1743781085.685484,"[0.018869638442993164, 0.0016202926635742188, 9.179115295410156e-05, 1.8596649169921875e-05]",4,1388,win,0.020786285400390625
1743781085.685492,1743781085.7010071,"[0.01269984245300293, 0.0023369789123535156, 0.00017380714416503906, 2.384185791015625e-05]",4,996,draw,0.01551508903503418
1743781085.701015,1743781085.7299302,"[0.026691198348999023, 0.0018472671508789062, 0.00018024444580078125, 2.0265579223632812e-05]",4,1866,win,0.0289151668548584
1743781085.7300797,1743781085.744309,"[0.01229715347290039, 0.0016720294952392578, 8.821487426757812e-05]",3,1014,win,0.014229297637939453
1743781085.7443168,1743781085.7633393,"[0.0167236328125, 0.0019683837890625, 0.0001251697540283203]",3,1384,win,0.019022464752197266
1743781085.7633572,1743781085.779586,"[0.014268636703491211, 0.0016510486602783203, 8.916854858398438e-05, 1.8358230590820312e-05]",4,1277,win,0.016228914260864258
1743781085.7795982,1743781085.8042212,"[0.021747827529907227, 0.002516508102416992, 0.0001342296600341797, 2.6464462280273438e-05]",4,1904,draw,0.02462291717529297
1743781085.8042326,1743781085.8169196,"[0.011439800262451172, 0.0009028911590576172, 0.00014138221740722656, 2.4080276489257812e-05]",4,985,draw,0.012686967849731445
1743781085.81693,1743781085.834192,"[0.016109228134155273, 0.00090789794921875, 0.00011134147644042969]",3,1338,win,0.017261981964111328
1743781085.8343291,1743781085.847511,"[0.011580705642700195, 0.0011835098266601562, 0.00016021728515625, 2.09808349609375e-05]",4,977,win,0.013181924819946289
1743781085.8475218,1743781085.8636527,"[0.014984130859375, 0.0008466243743896484, 0.00011038780212402344]",3,1182,win,0.016130924224853516
1743781085.86367,1743781085.87557,"[0.011306285858154297, 0.0003364086151123047, 9.274482727050781e-05]",3,864,win,0.011899948120117188
1743781085.8755836,1743781085.8882225,"[0.01106119155883789, 0.001218557357788086, 0.00015878677368164062, 2.5510787963867188e-05]",4,996,draw,0.01263880729675293
1743781085.8882372,1743781085.9109192,"[0.021441936492919922, 0.0009002685546875, 0.00019049644470214844]",3,1655,win,0.02268195152282715
1743781085.9109294,1743781085.931113,"[0.017673015594482422, 0.0023467540740966797, 2.956390380859375e-05]",3,1652,win,0.020183563232421875
1743781085.931122,1743781085.9468305,"[0.01226663589477539, 0.003237009048461914, 6.723403930664062e-05]",3,1319,win,0.015708446502685547
1743781085.9469635,1743781085.959907,"[0.011792898178100586, 0.0009198188781738281, 8.678436279296875e-05]",3,973,win,0.012943506240844727
1743781085.9599156,1743781085.9806848,"[0.0167999267578125, 0.0036656856536865234, 0.00010132789611816406]",3,1596,win,0.020769119262695312
1743781085.980706,1743781085.9987915,"[0.016050100326538086, 0.0018219947814941406, 7.605552673339844e-05]",3,1492,win,0.018085479736328125
1743781085.9988017,1743781086.016549,"[0.01647329330444336, 0.0009715557098388672, 0.00011038780212402344, 1.7881393432617188e-05]",4,1339,win,0.01774740219116211
1743781086.0165594,1743781086.0412707,"[0.021135568618774414, 0.003302335739135742, 0.00011229515075683594, 9.059906005859375e-06]",4,1984,win,0.02471137046813965
1743781086.0412784,1743781086.0645394,"[0.02185988426208496, 0.0010445117950439453, 0.0002117156982421875]",3,1655,win,0.023261070251464844
1743781086.0646794,1743781086.0853646,"[0.01760578155517578, 0.002732992172241211, 9.5367431640625e-05, 1.811981201171875e-05]",4,1453,win,0.020685195922851562
1743781086.085381,1743781086.09722,"[0.011173009872436523, 0.0003361701965332031, 0.00014209747314453125, 1.5020370483398438e-05]",4,882,win,0.011838912963867188
